date,rating,description,hotel_name,city,country,language
2023-09-18,10,The Hotel is amazing.  The food is excellent and delicious.  The drinks were awesome.  The staff is the best. They were very attentive to my needs. Everyone was really friendly  and helpful.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-18,10,Todo estaba padrisimo muy limpio los jardines y zona donde esta el spa está padrisimo,InterContinental Presidente,Cancun,Mexico,es
2023-09-17,10,Amazing place! Would highly recommend,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-17,10,The quality of services is amazing; and the room service is great; The quality of the food and drinks is awesome; definitely we will come back,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-17,8,I would say Very Good experience. The beach at this property is the best I have experienced in Cancun. The staff is incredibly welcoming; accommodating; and attentive. We enjoyed  club lounge breakfast and happy hour. The vibe is very relaxed and calming. Gym and the jets in outdoor spa tub need lots of love. We plan on returning.,InterContinental Presidente,Cancun,Mexico,en
2023-09-16,10,The staff and service is amazing; the restaurants are great; the property is beautiful; and the beach is majestic. We look forward to returning!,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-16,10,Everything about the property was excellent. We were upgraded to the 10th floor although that was not due to any VIP access. Should they have been aware of that from Expedia?,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-16,10,Employees are very attentive & accommodating; great food all around.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-16,8,The only issue we had; the food is not good; other than that everything was excellent!,InterContinental Presidente,Cancun,Mexico,en
2023-09-15,10,Very friendly and helpful Staff at the Hotel,Hyatt Regency Palais,Nice,France,en
2023-09-14,10,Hotel was in a prime location and the service we received was outstanding. Concierge was a real highlight taking care of everting we wanted to book. Extremely helpful.,Hyatt Regency Palais,Nice,France,en
2023-09-13,10,Great Service and Nice Hotel.,Fairmont Monte Carlo,Monaco,France,en
2023-09-13,10,Amazing days with family and friends;we were all agreed in repeat this wonderful experience at Grand fiesta Americana Cancun.;5 * review to the sommelier Ilian and our waiter at the beach Joel. Thanks see you soon,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-13,10,Excelente hotel; las instalaciones muy limpias ; personal atento; elevado el costo de restaurantes; la piscina limpia ; la playa demasiado bella,InterContinental Presidente,Cancun,Mexico,es
2023-09-12,10,Excelente servicio!,Grand Fiesta Americana,Cancun,Mexico,es
2023-09-12,10,Will return,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-12,10,Very friendly staff and great food. Hotel needs some work; though.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-12,10,Best beach in Cancun,InterContinental Presidente,Cancun,Mexico,en
2023-09-11,10,Nice and clean,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-11,10,Great service; location and delicious food.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-10,10,Hotel  Warwick Geneva was perfect in every way; we arrived on train from airport to the city center and hotel Warwick was right across the street. Staff was very friendly; and the room was very nice; we slept beautifully after a long day of travel! I would definitely stay here again!,Warwick Geneva,Geneva,Switzerland,en
2023-09-10,10,Excellent service,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-09,10,Heerlijke plek in centrum Cannes. Lekker bijkleuren op de Pier van het hotel. Top service.,barriere-le-majestic,Cannes,France,nl
2023-09-09,8,Staff great; clean and bed really comfortable. Excellent location and value; just a little tired around the edges.,Warwick Geneva,Geneva,Switzerland,en
2023-09-09,10,My daughter and I absolutely loved this place. Beach was clean and easy to access. Great service and food. Our room was fantastic.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-07,10,The room is too humiliating,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-07,10,This is one of the most beautiful hotels I’ve ever stayed in . The people are so caring ; friendly and helpful. Rooms are so beautiful and spotless.  views of the ocean were so dreamy. All 6 restaurants the food was delicious. Everything was just perfect a dream come true .,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-07,8,Property overall is good; the private beach area is very small. Some book half of the area on the beach for private events or 3 days in a row and that leaves you with pretty much very small area to sit and enjoy the beach. Other good spots on the beach either reserved or needs reservation.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-07,6,The two people working at Cafe Urbano were wonderful! We first went to Caribeño a couple of times to order a la carte which in those two days we almost paid $200 the next day we tried to eat breakfast the lady at the front told us it was better for us to go to Cafe Urbano because that breakfast was for all you can eat $30 per per and we said what? So we stopped going there; also had a bad experience when we paid $300 for an excursion at the hotel after we told the lady we had medical problems she still sold us and excursion that was not for us so I feel that I paid $300 to just drink water; eat;sit and watch everyone have a good time that was a big disappointment. We did report this before we left to management.,InterContinental Presidente,Cancun,Mexico,en
2023-09-06,10,VERY welcoming a professional staff in all Departments,barriere-le-majestic,Cannes,France,en
2023-09-06,10,Beautiful resort. Great staff.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-06,10,It was very clean and friendly,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-06,10,The best thing about this property was the people/service! We were treated like royalty every where we went on the property. They were kind; helpful and served with a smile and great attitude. Our room was large; comfortable and kept VERY clean and we had a great ocean view. The food is average but good and plentiful.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-06,10,It definitely was a blast; will come back again next year.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-06,10,The people working there were exceptionally friendly and take pride in their jobs. They want only for you to relax and enjoy the resort and all it offers; which is so much! It is beautiful; the food was good and plentiful; the pools and activities were top notch.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-06,10,safe and comfortable,InterContinental Presidente,Cancun,Mexico,en
2023-09-06,10,Amazing ; thank you very much,InterContinental Presidente,Cancun,Mexico,en
2023-09-05,10,Amenities were wonderful and 5 stars indeed,barriere-le-majestic,Cannes,France,en
2023-09-05,10,Amazing experience at this property. The service from the staff was phenomenal and the overall atmosphere was welcoming. I would definitely recommend this place.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-05,10,This hotel is away from the main strip making it more of a relaxed chilled vibe! The restaurant on the beach is pricey with not a lot of options but the food was good!,InterContinental Presidente,Cancun,Mexico,en
2023-09-04,10,Top notch service; over the top food. Kids Club was filled with activities. Our son was having such a good time he didn’t want to leave. Loved daily entertainment.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-04,10,Perfect property,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-04,10,an experience that was simply wonderful the whole time we spent there was amazing; the staff; restaurants; and service were excellent. I will definitely come back to this hotel. Thank you guys.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-04,10,The pool and beach at this hotel are gorgeous. Possibly one of the most beautiful beaches in Cancun. Free kayaks and paddle boards were a plus and loved by our family. The hotel itself is dated for sure and definitely requires renovations. Most of the decor appears to be tired and from the 80s; which is unfortunate since the outside of the hotel is so beautiful. Rooms are great with comfortable beds and the most amazing ocean views. The food was amazing from start to finish. Breakfast buffet was great and the Mexican restaurant had some of the best food we have ever had. All of the staff are wonderful and very attentive. Besides the decor; my only other complaint would be that this hotel lacks entertainment by the pool. I wish there was more for kids that was not at the kids club. We like to keep our kids with us and they enjoy activities by the pool; but this hotel lacked that. Otherwise we had a wonderful time.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-04,10,I had a great day! It’s probably one of my most favorite vacations in a long time. I had an amazing room with the ocean view and a nice bathtub. My only complaint was that I got a room with two queen beds the first night in a lot of things were missing from the room. They were the handful of people that worked at the bar with the swing that was not very kind of professional; and one front desk person that was not great. Everyone else was amazing. In particular; the people in the urban bar upstairs were great. The two tile guys who did the excursions by the pool were amazing the servers at the cabanas and lounge on the beach was amazing. The people in the outdoor buffet for a great; the man on the indoor buffet was not so great. The managers worked hard to make everything right and we’re super amazing.,InterContinental Presidente,Cancun,Mexico,en
2023-09-03,10,We absolutely loved the Hyatt Regency Nice. It was a wonderful hotel with excellent staff,Hyatt Regency Palais,Nice,France,en
2023-09-03,10,Service towards the customer,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-03,10,The food was great. The staffs were kind. The property was nice and clean. Overall; it was great stay.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-03,10,awesome place,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-03,10,Playa hermosa,InterContinental Presidente,Cancun,Mexico,en
2023-09-03,6,Was expecting more for a 5 star hotel; but still pleasant overall. Better for families.,InterContinental Presidente,Cancun,Mexico,en
2023-09-03,10,Everything was perfect!,InterContinental Presidente,Cancun,Mexico,en
2023-09-03,8,Cycles; water boats and enough spaces in the beach,InterContinental Presidente,Cancun,Mexico,en
2023-09-03,10,The property was very neat and clean. The staff was friendly. They had different restaurant options; and the food was excellent. I would definitely stay there again.,InterContinental Presidente,Cancun,Mexico,en
2023-09-02,10,La comida en los restaurantes es de baja calidad.En Basilic te cobran 100 dls por pareja y si no gastas otros 100 en la cata tenes que pedir por favor que te den 1/2 copa de vino,Grand Fiesta Americana,Cancun,Mexico,es
2023-09-02,10,Where do I start? The service is absolutely amazing. Never had 1 problem the entire 7 day stay. I’ve been to a lot of resorts in Cancun and the food is always so so. Here; the food was outstanding. Me and my 3 other guest who are really into good food loved it. Even the room service food was great. I also loved how they served corona and modelo. If you sit at the beach you can get a server all day long. As long as you tip he will be right back every 20 minutes. I highly recommend going to all the resturants and using the omelette bar for breakfast. The king bed ocean room view is perfect. Comfortable and nice and cold. No issues in the room. Room service comes twice a day. This is by far the best resort I’ve been too in Cancun.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-02,10,This property was a beautiful clean property with the best beach in the area. The food at the beach bar was delicious and the drinks were delicious. There was excellent customer service. Only problem I had was with the front desk staff that made me wait way too long for my room to be ready despite calling them in advance and letting them know about my short stay and early arrival. I would stay there again and probably take a flight that arrives closer to 3pm check in.,InterContinental Presidente,Cancun,Mexico,en
2023-09-02,8,Very nice hotel and beach to relax,InterContinental Presidente,Cancun,Mexico,en
2023-09-02,8,Great staff; super clean; fantastic location!,InterContinental Presidente,Cancun,Mexico,en
2023-09-01,2,The gym is in construction my room was nearby at construction is too noise,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-01,2,Es un hotel viejo había mojo en la regadera las camas muy duras almohadas de piedra había una alarma que quedaba arriba de la cama fue horrible no se podía dormir las luces de la alarma no dejaban la verdad no conviene no incluye más que agua y café no volvería ni lo recomiendo en cuanto a la atención de el personal muy amigable y buena.,InterContinental Presidente,Cancun,Mexico,es
2023-08-31,10,It was amazing!,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-31,10,Amabilidad y vocación de servicio manifiesta de todo el personal desde que cruza uno la puerta de entrada para el recibimiento y lo mismo en todas las áreas; camareras; recepción; restaurantes con excelentes menus; meseros muy atentos; excelente servicio en las albercas y bares etc etc,Grand Fiesta Americana,Cancun,Mexico,es
2023-08-31,10,Esta excelente el hotel con la habitación muy cómoda y limpia; los restaurantes tienen excelente servicio y muy rica la comida,InterContinental Presidente,Cancun,Mexico,es
2023-08-30,10,Excelente servicio y gran ubicación.,Hyatt Regency Palais,Nice,France,es
2023-08-30,10,the hotel location is excellent and a block away from a major transportation hub.  Plenty of restaurants around and depend on the room number and the hight of your floor you may get a beautiful view of the Geneva lake and fountain,Warwick Geneva,Geneva,Switzerland,en
2023-08-30,10,This property keeps stepping up their game. No one can compare with the service and food offered by the Fiesta Americana Grand Coral Beach. They have just redone their steak house; added a teppanyaki restaurant; greatly improved their Tuscany Italian and added unbelievably good sushi. The place and all of the staff are incredible.,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-30,8,The hotel was excellent; service was great. The only issue i had was that food was not included in my reservations. I booked this hotel only because it said meals were included; that was not true. Breakfast is $30 US per person; andanddinner was at least $60,InterContinental Presidente,Cancun,Mexico,en
2023-08-29,10,Thomas the manager went above and beyond to ensure our stay was comfortable. He provided outstanding service! Thank you,Fairmont Monte Carlo,Monaco,France,en
2023-08-29,10,Just came back from Cancun. We had a wonderful experience while we stay; staffs are very helpful and patient. Can not wait ho back again!,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-29,10,Very knowledgeable staff .,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-29,8,Clean water,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-28,8,I like the luxurious of the hotel and the location,barriere-le-majestic,Cannes,France,en
2023-08-28,8,Had a nice room over the Hairpin with great Views very comfortable breakfast was very good here literally everything you could possibly need,Fairmont Monte Carlo,Monaco,France,en
2023-08-28,8,Overall enjoyed the stay and location was excellent with convenience of the transport services.  Waking up to a wonderful view made up for the fact that the room was too small for 2 persons.  I would definitely recommend staying there again,Warwick Geneva,Geneva,Switzerland,en
2023-08-28,10,Very friendly and helpful staff. Excellent location right next to main railway station. Lovely buffet breakfast. Comfortable bed. Bath rope and slippers was a nice surprise.,Warwick Geneva,Geneva,Switzerland,en
2023-08-28,10,Food is amazing,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-28,8,you have to make reservation for your dinner to eating in the restaurant; that is bad.,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-28,10,Very well maintained property easy access to shops and buses. House keeping was great and resort area is very well maintained  highly recommend though this is not busier side of hotel zone,InterContinental Presidente,Cancun,Mexico,en
2023-08-27,6,Stuff very friendly; location great and central; but entire hotel very dated and despite renovated rooms. Breakfast on the rooftop restaurant Horizon with great view and good choice of food (buffet); but very crowded. Overall not the quality you would accept for a Fairmont chain.,Fairmont Monte Carlo,Monaco,France,en
2023-08-27,8,Everything so expensive,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-27,10,Very nice rooms.,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-27,2,I stayed two nights at this hotel The second night around 10:30 pm; an authorized person came into my room while my wife and kids were sleeping. We called the front desk immediately; who told us that they would check the security cameras and change our room keys. The next day at check out; we asked about the incident. The receptionist had no information about the incident; she apologized for the incident and gave us a $15 discount for our troubles. We were not looking for compensation but rather for an explanation of how an unauthorized person could enter our room while we were sleeping. In the next few weeks; I follow up with the hotel to find out about this incident. Someone from the hotel chain reached out asking for my phone number to call me but never did The incident was terrible but the response from the hotel was even worse.,InterContinental Presidente,Cancun,Mexico,en
2023-08-26,10,Kid friendly; daily shows,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-26,10,It is a great place to go with the family to relax in luxury.,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-26,10,My room is on the 10th floor; the view is beautiful; but feels damp in room all the time.,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-26,8,Très bon compromis même si tarif un peu cher (mais normal à Cancun!) Petit déj très bien,InterContinental Presidente,Cancun,Mexico,fr
2023-08-26,6,Not so great. Safe box did not work; it took a while to replace batteries. Room was made too late for me ( around 5pm) which I thought unacceptable .,InterContinental Presidente,Cancun,Mexico,en
2023-08-25,10,"We had an amazing time during our stay at Grand Fiesta Americana. Housekeeping cleaned our room twice a day. Every area of the property were kept clean and well-maintained; including the restrooms; even the ones in the pool area. The staff were all very friendly and professional; always greeted you with a smile. Bryan helped check us in and out during our stay; very professional; friendly and humorous. We really liked the food at the pool-side bar and at the restaurants; La Joya; Torii; and the Steakhouse. The Mariachi band in La Joya was fun to listen to while we had our dinner. My daughters loved it when they played Un Poco Loco; which they remembered from the movie ""Coco."" There was a fairly nice selection of breakfast items at the indoor breakfast buffet. The dining staff were all excellent. We were always seated quickly and served in a timely manner. The pools and beaches are also very clean with beautiful; relaxing; scenic views. We went snorkeling twice through the Coral Marine Beach company provided by the hotel; which was very fun. The captains; Orlando and Lorenzo; were very friendly and helpful. Orlando was patient and professional when teaching us how to snorkel and guiding us around the reef; pointing out where to look for fish; sea turtles; corals and underwater statues. Same with Nikki; our skipper who took beautiful pictures/videos for us. Lorenzo was very experienced; and quickly spotted a pair of dolphins. My girls also loved the Coral Kidz Club!",Grand Fiesta Americana,Cancun,Mexico,en
2023-08-25,10,Amazing staff!,InterContinental Presidente,Cancun,Mexico,en
2023-08-25,10,Excellent place to stay for a peace vacation and relaxing time,InterContinental Presidente,Cancun,Mexico,en
2023-08-24,10,Loved this property; been to Cancun 4 times and no other hotel/ resort is like this. The hotel is clean; conveniently located; food is good and staff is friendly. Most importantly it’s kid or all adult friendly. Both pools aren’t deep (4ft) and beach if BEAUTIFUL. Servers are always coming around to attend your needs. They have non water games like a huge chess; jinga; painting section and ping pong tables. The buffet has a good variety of tasty food. There’s valet and self parking as well. I will always stay in this location from now on. Definitely recommend.,InterContinental Presidente,Cancun,Mexico,en
2023-08-24,8,Overall very good service; clean rooms. Our air conditioning wasn’t working perfectly; noisy. Saw coach roaches around the pool area in the evening time. Breakfast buffet was great!,InterContinental Presidente,Cancun,Mexico,en
2023-08-24,10,Great,InterContinental Presidente,Cancun,Mexico,en
2023-08-23,10,Front desk staff very attentive; even weighed our luggage to ensure our shopping didn’t put us over the acceptable limit. Housekeeping did a fantastic job of daily cleaning.,Hyatt Regency Palais,Nice,France,en
2023-08-23,10,Everything was excellent- if you go off season; there may be remodeling.  That was disappointing but they need to do it sometime.,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-23,10,Great Staff; spa; pool & beach,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-23,2,I will never book a vacation through Expedia not only did I pay over 5;000 dollars but they false advertise the resort; in my reservation It clearly stated that breakfast and dinner was included.  When I got to the resort they informed me that these issues have happed before with Expedia because the resort does not offer an all exclusive.  After flighting practically all day I called Expedia and they had me on hold for 45min and nothing got resolved.  I ended up spending over 1000.00 more just on food.  I am beyond me they are not only false advertising but refused to take any responsibility on their part for the issues they caused me and my family.  Again I will never chose Expedia to plan a vacation!!!,InterContinental Presidente,Cancun,Mexico,en
2023-08-23,8,Beach is one of the best ever seen.,InterContinental Presidente,Cancun,Mexico,en
2023-08-22,10,exelet service tks,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-22,10,WilDefinitel visit,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-22,10,Honestly everything; hotel staff; amenities and locL are was amazing.,InterContinental Presidente,Cancun,Mexico,en
2023-08-22,10,The service was great,InterContinental Presidente,Cancun,Mexico,en
2023-08-22,10,La playa es la mejor y el personal de primera,InterContinental Presidente,Cancun,Mexico,es
2023-08-21,10,Very nice and caring staff,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-21,8,Love white sand beach; beautiful pool view. and Seafood restaurant by the beach.,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-21,6,Not too many food options; lack of variety of food; first time ever that people need reservations for a buffet restaurants; this place was a LEADER & PIONEER OF THE CANCUN ZONE; not anymore ( living off the history),Grand Fiesta Americana,Cancun,Mexico,en
2023-08-21,10,The staff goes above and beyond to make your stay as pleasing as one would expect out of a great vacation The facility is clean and the food is great the pool is wonderful The only downside to this property is the lack of a beach area,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-21,10,Perfect,InterContinental Presidente,Cancun,Mexico,en
2023-08-20,8,They weren’t enough spots in the restaurants for the amount of the guests.,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-20,4,They treat you like your not even paying them if you didn’t get the all inclusive. The front desk is very rude. The cleaners and water service people are very nice and the restaurant workers are amazing. The bar people are nice. The restaurant on the beach has a rude cashier but Jeremy and his helper friends are really kind. They won’t even give you water if you don’t have the all inclusive and everything is over priced.,InterContinental Presidente,Cancun,Mexico,en
2023-08-20,10,This property has probably the best beach in the Cancun Hotel area.,InterContinental Presidente,Cancun,Mexico,en
2023-08-19,10,Excellent resort!,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-19,8,Tap water they gave it to me made me sick,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-19,8,Location of the property was awesome!,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-19,10,Me encanta el servicio de esta propiedad. Pero no recibí el upgrade del cuartó por lo contrario estuve en un cuarto con una deficiencia un ruido espantoso que fue reportado y arreglado sólo por un día porque volvió a molestar toda mi estancia . El cuarto en el k me quede es el que hice booked .,Grand Fiesta Americana,Cancun,Mexico,es
2023-08-19,8,I had a great stay at the InterContinental Presidente. The hotel was beautiful and very well kept!,InterContinental Presidente,Cancun,Mexico,en
2023-08-18,10,Loved it!!,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-18,10,Everything was perfect. Food isn't that great but everything else was fantastic. The service was beyond perfect thanks to Jahdiel ; Jesus and the captain Alejandro from restaurant viña del mar.,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-18,10,Todo muy bien,InterContinental Presidente,Cancun,Mexico,es
2023-08-17,10,Excellent property and top notch service. Several dining options are available.,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-17,10,Perfect,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-17,8,It's not good to arrive early in the morning. We got to the hotel at 6:00 am and were informed by the front desk that we couldn't have breakfast until 12:00 pm; which was the early check-in time; even though we booked the hotel for 6 days.,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-16,10,The property have the best beach; safe for families and the service was outstanding.,InterContinental Presidente,Cancun,Mexico,en
2023-08-15,10,Highly recommended. I will come back!,InterContinental Presidente,Cancun,Mexico,en
2023-08-15,10,Great location as it is on the top side of the Zona Hotelera; no need to get stuck in traffic going towards the middle if the zone.,InterContinental Presidente,Cancun,Mexico,en
2023-08-14,10,Magnifiques chambres avec terrasse. Service impeccable. Un restaurant au 3ème avec une vue magnifique sur la prom. Nous avons adoré.,Hyatt Regency Palais,Nice,France,fr
2023-08-14,8,Great resort and outstanding customer service but I found the food; although good; underwhelming. It was my first time in Mexico and I was expecting spices and flavourfull meals; but I found the Mexican dishes bland; and the grilled meats over salted.,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-14,10,Very clean; excellent service! High cost performance！👍👍,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-14,10,Hotel was very good service was excellent cleaners all around I had a very good time,InterContinental Presidente,Cancun,Mexico,en
2023-08-14,10,Everything was good and excellent nothing to complain about,InterContinental Presidente,Cancun,Mexico,en
2023-08-14,10,Durante muchos años! He viajado a can cun y siempre busqué encontrar la mejor playa y me tardé hasta que la encontré; y es la playa de hotel presidente es una joya,InterContinental Presidente,Cancun,Mexico,es
2023-08-14,6,Ojalá pudieran mejorar el gimnasio; esta muy por debajo de él nivel que tiene el hotel; aparatos rotos; viejos y muy escasas opciones para entrenar bien,InterContinental Presidente,Cancun,Mexico,es
2023-08-13,10,The best part of our stay was the staff! They were very attentive and always ready to receive us and help in whatever we needed!,InterContinental Presidente,Cancun,Mexico,en
2023-08-13,10,La atencion del personal es excelente; pero le hace falta mejoras a la propiedad,InterContinental Presidente,Cancun,Mexico,es
2023-08-12,8,The room was nice the beds were comfy the bathrooms were clean and overall the rooms were very roomy.  I would come back!😁,Warwick Geneva,Geneva,Switzerland,en
2023-08-12,10,I love it,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-12,10,This was are first time in Cancun and I am so glad that I stayed at Intercontinental Presidente. I am shocked how good the service was and the staff was just amazing. I would like to thank Ariana; Raymundo; Gustavo; Gonzalo and all the employees there as they made this experience fantastic. Staff was always friendly. I recommend it; it was 10 out of 10. Also the food was delicious.,InterContinental Presidente,Cancun,Mexico,en
2023-08-11,8,this hotel is good; location is excellent but beach is small and next to it there is a public beach. The kids pool/water park; which is what we were interested in; is located inside the kids room and can only be accessed at certain times. My kids complained about this and we had thought it was outside and accessible at all times. Restaurants require reservations and if you want specific times; good luck; some may be full 5 nights in advance. Same for the boat to isla mujeres; by the time we saw the ad; it was already full. Overall it is a good hotel with good food,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-10,10,Todo muy bien exelente,InterContinental Presidente,Cancun,Mexico,es
2023-08-09,10,muy buen hotel,InterContinental Presidente,Cancun,Mexico,es
2023-08-08,10,Everything was very beautiful and the service was great. Recommend 10/10,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-08,10,el lugar espectacular; la playa hermosa!!! sin sargazo! nos encanto; sin duda regresaremos!!,InterContinental Presidente,Cancun,Mexico,es
2023-08-08,8,La mejor atención y playa extraordinaria,InterContinental Presidente,Cancun,Mexico,es
2023-08-08,8,Definitivamente no es el mejor hotel pero estuvo bien ; la amabilidad de su staff es inmejorable; deberían de indicar que el restaurante con el logo azul es un restaurante que no tiene los mismos métodos que los demás ; la comida en dicho restaurante le petit … algo así ; estuvo por demás desagradable ; sin sabor ; y excesivamente cara ; como cliente llegas a pasar una estancia en ese restaurante muy desagradable. Mis felicitaciones a un camarero de nombre Raymundo o Reynaldo del restaurante caribeño ; no recuerdo bien su nombre ; fue súper atento y con muy buenas opciones de comida . En general el servicio estuvo BIEN . Podrían mejorar sus costos en restaurantes ; eso sería muy buena idea .,InterContinental Presidente,Cancun,Mexico,es
2023-08-08,6,Hotel conservado; mas muito velho; sem isolamento acústico. Se escuta abri o quarto dos demais apartamentos.,InterContinental Presidente,Cancun,Mexico,pt
2023-08-07,10,A great resort for family. The staff was very hospital and friendly. Lots of great food and the pool was good.,Grand Fiesta Americana,Cancun,Mexico,en
2023-08-07,10,Hotel in a perfect location for shopping; entertainment and restaurants. It is easy in easy out. The staff is wonderful; polite and communicate well. The cleanliness is excellent. The pool service is awesome. Staff always available. I’m definitely going back. Oh; and the rooms are quiet. Always got a good night sleep.,Grand Fiesta Americana,Cancun,Mexico,en
